STREAM_ID,sourceID,source,site name,latitude_wgs84,longitude_wgs84,drainagearea_sqkm,state_name,time_zone,WQ_parameters
STREAM-gauge-2923,05559900,USGS,"ILLINOIS RIVER ABOVE RTE 150 AT PEORIA, IL",40.725037,-89.54954,36000.861000000004,Illinois,Central,"WTemp_C,SpC_uScm,DO_mgL,pH,Turb_FNU,NO3_mgNL,Chla_ugL"
STREAM-gauge-2924,05564190,USGS,"MACKINAW RIVER AT 3400E NEAR COLFAX, IL",40.557333,-88.610306,,Illinois,Central,WTemp_C
STREAM-gauge-2925,05564250,USGS,"MACKINAW RIVER NEAR LEXINGTON, IL",40.628694,-88.797417,,Illinois,Central,WTemp_C
STREAM-gauge-2926,05565900,USGS,"MACKINAW RIVER AT 2300E NEAR KAPPA, IL",40.66225,-89.100778,,Illinois,Central,WTemp_C
STREAM-gauge-2927,05567500,USGS,"MACKINAW RIVER NEAR CONGERVILLE, IL",40.6235,-89.241667,1986.52233,Illinois,Central,"WTemp_C,SpC_uScm,DO_mgL,pH,Turb_FNU,NO3_mgNL"
STREAM-gauge-2928,05567545,USGS,"MACKINAW RIVER ABOVE MACKINAW, IL",40.56815,-89.3187,,Illinois,Central,WTemp_C
STREAM-gauge-2929,05568000,USGS,"MACKINAW RIVER NEAR GREEN VALLEY, IL",40.454667,-89.606167,2779.05927,Illinois,Central,WTemp_C
STREAM-gauge-2930,05568705,USGS,"MASON TAZEWELL DRAINAGE D AT CR2350E NR TOPEKA, IL",40.326583,-89.914111,445.219281,Illinois,Central,"WTemp_C,SpC_uScm,DO_mgL,pH,Turb_FNU,NO3_mgNL,Chla_ugL"
STREAM-gauge-2931,05568770,USGS,"SPOON RIVER AT MODENA, IL",41.135593,-89.760657,398.85846,Illinois,Central,WTemp_C
STREAM-gauge-2932,05568830,USGS,"SPOON RIVER AT ELMORE, IL",40.956982,-89.976223,1118.87568,Illinois,Central,WTemp_C
STREAM-gauge-2933,05568917,USGS,"SPOON RIVER NEAR GILSON, IL",40.88726,-90.099007,1981.34235,Illinois,Central,WTemp_C
STREAM-gauge-2934,05569500,USGS,"SPOON RIVER AT LONDON MILLS, IL",40.707722,-90.279778,2776.4692800000007,Illinois,Central,WTemp_C
STREAM-gauge-2935,05570000,USGS,"SPOON RIVER AT SEVILLE, IL",40.490081,-90.340094,4237.22364,Illinois,Central,WTemp_C
STREAM-gauge-2936,05570400,USGS,"SPOON RIVER AT DUNCAN MILLS, IL",40.340598,-90.189287,4755.22164,Illinois,Central,WTemp_C
STREAM-gauge-2937,05570910,USGS,"SANGAMON RIVER AT FISHER, IL",40.310997,-88.322361,621.5976,Illinois,Central,WTemp_C
STREAM-gauge-2938,05572000,USGS,"SANGAMON RIVER AT MONTICELLO, IL",40.031167,-88.589167,1424.4945,Illinois,Central,WTemp_C
STREAM-gauge-2939,05572500,USGS,"SANGAMON RIVER NEAR OAKLEY, IL",39.918644,-88.803131,2004.65226,Illinois,Central,WTemp_C
STREAM-gauge-2940,05573500,USGS,"SANGAMON RIVER AT LAKE DECATUR, IL",39.827475,-88.956617,2395.74075,Illinois,Central,WTemp_C
STREAM-gauge-2941,05573540,USGS,"SANGAMON RIVER AT ROUTE 48 AT DECATUR, IL",39.831111,-88.976389,2429.41062,Illinois,Central,WTemp_C
STREAM-gauge-2942,05575550,USGS,"CLEAR CREEK NEAR JEISYVILLE, IL",39.54638900000001,-89.435,35.71596210000001,Illinois,Central,NO3_mgNL
STREAM-gauge-2943,05576000,USGS,"SOUTH FORK SANGAMON RIVER NEAR ROCHESTER, IL",39.742222,-89.567278,2245.52133,Illinois,Central,WTemp_C
STREAM-gauge-2944,05576100,USGS,"LICK CREEK NEAR WOODSIDE, IL",39.715539,-89.702444,333.072714,Illinois,Central,"WTemp_C,SpC_uScm,DO_mgL,pH,Turb_FNU,NO3_mgNL,PO4_mgL"
STREAM-gauge-2945,05576195,USGS,"SUGAR CREEK NEAR CHATHAM, IL",39.659075,-89.658936,234.2127957,Illinois,Central,"WTemp_C,SpC_uScm,DO_mgL,pH,Turb_FNU,NO3_mgNL,PO4_mgL"
STREAM-gauge-2946,05576205,USGS,"SUGAR CREEK AT LAKE SPRINGFIELD, IL",39.761525,-89.600019,681.16737,Illinois,Central,WTemp_C
STREAM-gauge-2947,05576250,USGS,"SUGAR CREEK NEAR SPRINGFIELD, IL",39.779139,-89.592528,709.65726,Illinois,Central,WTemp_C
STREAM-gauge-2948,05578000,USGS,"SANGAMON RIVER AT PETERSBURG, IL",40.013333,-89.838333,7933.13937,Illinois,Central,WTemp_C
STREAM-gauge-2949,05578100,USGS,"SALT CREEK NEAR FARMER CITY, IL",40.22788900000001,-88.660564,289.1205837,Illinois,Central,"WTemp_C,SpC_uScm"
STREAM-gauge-2950,05578250,USGS,"NORTH FORK SALT CREEK NEAR DE WITT, IL",40.235861,-88.809556,276.869931,Illinois,Central,"WTemp_C,SpC_uScm"
