DateTime,Chla_ugL,Flag_Chla_ugL,PC_RFU,Flag_PC_RFU
2020-08-16 00:00,0.375,A,,
2020-08-16 01:00,0.3,A,,
2020-08-16 02:00,0.4975,A,,
2020-08-16 03:00,0.25,A,,
2020-08-16 04:00,0.35,A,,
2020-08-16 05:00,0.225,A,,
2020-08-16 06:00,0.2749999999999999,A,,
2020-08-16 07:00,0.3249999999999999,A,,
2020-08-16 08:00,0.35,A,,
2020-08-16 09:00,0.2666666666666666,A,0.2,A
2020-08-16 10:00,0.45,A,,
2020-08-16 11:00,0.945,A,,
2020-08-16 12:00,0.475,A,,
2020-08-16 13:00,0.65,A,,
2020-08-16 14:00,0.5,A,0.1,A
2020-08-16 15:00,0.325,A,,
2020-08-16 16:00,0.4,A,,
2020-08-16 17:00,0.6000000000000001,A,,
2020-08-16 18:00,0.4,A,,
2020-08-16 19:00,0.4249999999999999,A,,
2020-08-16 20:00,0.4,A,,
2020-08-16 21:00,0.33,A,,
2020-08-16 22:00,0.1575,A,,
2020-08-16 23:00,0.205,A,,
2020-08-17 00:00,0.16,A,,
2020-08-17 01:00,0.28,A,,
2020-08-17 02:00,0.38,A,,
2020-08-17 03:00,0.4275,A,,
2020-08-17 04:00,0.4075,A,,
2020-08-17 05:00,0.4525,A,,
2020-08-17 06:00,0.5774999999999999,A,,
2020-08-17 07:00,0.4325,A,,
2020-08-17 08:00,0.285,A,,
2020-08-17 09:00,0.3849999999999999,A,,
2020-08-17 10:00,0.43,A,,
2020-08-17 11:00,0.4825,A,,
2020-08-17 12:00,0.4575,A,,
2020-08-17 13:00,0.4574999999999999,A,,
2020-08-17 14:00,0.9775,A,,
2020-08-17 15:00,0.7825,A,,
2020-08-17 16:00,0.6824999999999999,A,,
2020-08-17 17:00,0.975,A,,
2020-08-17 18:00,0.585,A,,
2020-08-17 19:00,0.6575,A,,
2020-08-17 20:00,0.435,A,,
2020-08-17 21:00,0.71,A,,
2020-08-17 22:00,0.435,A,,
2020-08-17 23:00,0.51,A,,
2020-08-18 00:00,0.41,A,,
2020-08-18 01:00,0.51,A,,
2020-08-18 02:00,0.3349999999999999,A,,
2020-08-18 03:00,0.36,A,,
2020-08-18 04:00,0.385,A,,
2020-08-18 05:00,0.5433333333333333,A,0.1,A
2020-08-18 06:00,0.435,A,,
2020-08-18 07:00,0.435,A,,
2020-08-18 08:00,0.435,A,,
2020-08-18 09:00,0.3849999999999999,A,,
2020-08-18 10:00,0.31,A,0.1,A
2020-08-18 11:00,0.4349999999999999,A,,
2020-08-18 12:00,0.41,A,,
2020-08-18 13:00,0.2875,A,,
2020-08-18 14:00,0.2675,A,,
2020-08-18 15:00,0.145,A,,
2020-08-18 16:00,0.4133333333333333,A,0.0,A
2020-08-18 17:00,0.22,A,,
2020-08-18 18:00,0.3175,A,,
2020-08-18 19:00,,,-0.0333333333333333,A
2020-08-18 20:00,0.68,A,0.0,A
2020-08-18 21:00,0.3175,A,,
2020-08-18 22:00,0.4675,A,,
2020-08-18 23:00,0.195,A,,
2020-08-19 00:00,0.565,A,,
2020-08-19 01:00,0.44,A,,
2020-08-19 02:00,0.395,A,,
2020-08-19 03:00,0.4675,A,,
2020-08-19 04:00,0.245,A,,
2020-08-19 05:00,0.345,A,,
2020-08-19 06:00,0.245,A,,
2020-08-19 07:00,0.445,A,,
2020-08-19 08:00,0.37,A,,
2020-08-19 09:00,0.5425,A,,
2020-08-19 10:00,0.37,A,,
2020-08-19 11:00,0.42,A,,
2020-08-19 12:00,0.27,A,,
2020-08-19 13:00,0.2866666666666667,A,0.0,A
2020-08-19 14:00,0.52,A,,
2020-08-19 15:00,0.295,A,,
2020-08-19 16:00,0.445,A,,
2020-08-19 17:00,0.445,A,,
2020-08-19 18:00,0.2225,A,,
2020-08-19 19:00,0.1225,A,,
2020-08-19 20:00,0.27,A,,
2020-08-19 21:00,0.0275,A,,
2020-08-19 22:00,0.055,A,,
2020-08-19 23:00,0.0525,A,,
2020-08-20 00:00,0.1,A,,
2020-08-20 01:00,0.08,A,,
2020-08-20 02:00,0.2225,A,,
2020-08-20 03:00,0.1775,A,,
2020-08-20 04:00,0.2275,A,,
2020-08-20 05:00,0.1275,A,,
2020-08-20 06:00,0.3975,A,,
2020-08-20 07:00,0.4475,A,,
2020-08-20 08:00,0.23,A,,
2020-08-20 09:00,0.1525,A,,
2020-08-20 10:00,0.205,A,,
2020-08-20 11:00,0.325,A,,
2020-08-20 12:00,0.055,A,,
2020-08-20 13:00,0.155,A,,
2020-08-20 14:00,0.105,A,,
2020-08-20 15:00,0.18,A,,
2020-08-20 16:00,-0.02,A,,
2020-08-20 17:00,0.105,A,,
2020-08-20 18:00,0.13,A,0.0,A
2020-08-20 19:00,0.03,A,,
2020-08-20 20:00,0.055,A,,
2020-08-20 21:00,0.055,A,,
2020-08-20 22:00,0.13,A,,
2020-08-20 23:00,0.155,A,,
2020-08-21 00:00,0.28,A,,
2020-08-21 01:00,0.0824999999999999,A,,
2020-08-21 02:00,0.155,A,,
2020-08-21 03:00,0.155,A,,
2020-08-21 04:00,0.255,A,,
2020-08-21 05:00,0.28,A,,
2020-08-21 06:00,0.355,A,,
2020-08-21 07:00,0.3075,A,,
2020-08-21 08:00,0.355,A,,
2020-08-21 09:00,0.33,A,,
2020-08-21 10:00,0.53,A,0.1,A
2020-08-21 11:00,0.235,A,,
2020-08-21 12:00,0.4325,A,,
2020-08-21 13:00,0.3575,A,,
2020-08-21 14:00,0.3575,A,,
2020-08-21 15:00,0.4549999999999999,A,,
2020-08-21 16:00,0.285,A,,
2020-08-21 17:00,0.1875,A,,
2020-08-21 18:00,0.26,A,,
2020-08-21 19:00,0.3125,A,,
2020-08-21 20:00,0.215,A,,
2020-08-21 21:00,0.2625,A,,
2020-08-21 22:00,0.1066666666666666,A,0.1,A
2020-08-21 23:00,0.265,A,,
2020-08-22 00:00,0.39,A,,
2020-08-22 01:00,0.3125,A,,
2020-08-22 02:00,0.435,A,,
2020-08-22 03:00,0.39,A,,
2020-08-22 04:00,0.44,A,0.1,A
2020-08-22 05:00,0.4375,A,,
2020-08-22 06:00,0.44,A,,
2020-08-22 07:00,0.44,A,,
2020-08-22 08:00,0.66,A,,
2020-08-22 09:00,0.635,A,,
2020-08-22 10:00,0.6066666666666667,A,0.1,A
2020-08-22 11:00,0.54,A,,
2020-08-22 12:00,0.44,A,,
2020-08-22 13:00,0.315,A,,
2020-08-22 14:00,0.165,A,,
2020-08-22 15:00,0.365,A,,
2020-08-22 16:00,0.49,A,,
2020-08-22 17:00,0.365,A,,
2020-08-22 18:00,0.215,A,,
2020-08-22 19:00,0.365,A,,
2020-08-22 20:00,0.315,A,,
2020-08-22 21:00,0.4100000000000001,A,0.0,A
2020-08-22 22:00,0.2733333333333334,A,0.0,A
2020-08-22 23:00,0.415,A,,
2020-08-23 00:00,0.3175,A,,
2020-08-23 01:00,0.4425,A,,
2020-08-23 02:00,0.465,A,,
2020-08-23 03:00,0.3199999999999999,A,,
2020-08-23 04:00,0.3924999999999999,A,,
2020-08-23 05:00,0.4675,A,,
